fid,business_id,name,lat,lon,stars,city,categories
41,"0CEUpFtaKhxbmrbSdP9MUQ",Acadia,39.9389483,-75.1564078,4,Philadelphia,"Restaurants, Cajun/Creole, Southern, Nightlife, Cocktail Bars, Breakfast & Brunch, Seafood, Bars"
44,GVqXNt0HKJLpciN9ePxnWw,Crown Fried Chicken,39.9368911,-75.1672837,2.5,Philadelphia,"Restaurants, Fast Food"
45,dChRGpit9fM_kZK5pafNyA,The Love,39.9506555,-75.1708991,4,Philadelphia,"Restaurants, American (New), Breakfast & Brunch, Burgers"
48,QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,40.0520643,-75.1273939,4.5,Philadelphia,"Korean, Restaurants"
53,7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,39.9418766,-75.1451988,4,Philadelphia,"Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants"
58,5iuo1kvv0XZMS0bUOoLz2Q,Bistro St. Tropez,39.9535919923,-75.1794226902,3.5,Philadelphia,"Restaurants, French"
59,bchZXVE4feVx4Q5rhIRCGg,NY Bagel Cafe & Deli,40.0027825,-75.2222705,3,Philadelphia,"Restaurants, Food, Bagels, Breakfast & Brunch, Coffee & Tea, Sandwiches, Delis, American (New)"
61,ngvE1G9IckUO-ljZBFo23w,Mumbai Bistro,39.947207,-75.1572515,4,Philadelphia,"Indian, Restaurants"
62,46_2e1hnQ4csLrYnhn6bkw,Whetstone Tavern,39.9408715785,-75.1510468125,4,Philadelphia,"Restaurants, Cocktail Bars, American (New), Desserts, American (Traditional), Nightlife, Bars, Food"
63,TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,40.08178,-75.0267907,4,Philadelphia,"Event Planning & Services, American (Traditional), Restaurants, Food, Caterers, Fast Food, Chicken Shop, Breakfast & Brunch"
64,CPgWuWGZ4v2sZr5_-1kluw,Checkers,39.9719414,-75.159771,2,Philadelphia,"Restaurants, Fast Food, Burgers"
66,VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,39.960811,-75.1573883,4,Philadelphia,"Bagels, Food, Breakfast & Brunch, Coffee & Tea, Restaurants, Burgers, Delis"
68,PW5eZM5RAQEhy3wgovChhQ,Cafe Victoria's,39.958422,-75.158257,3,Philadelphia,"Food, Cafes, Restaurants, Coffee & Tea, Breakfast & Brunch"
70,yFqq66GxRjnhZXPgjA6hnw,KFC,40.031578,-75.104787,2,Philadelphia,"Restaurants, Chicken Shop, Fast Food, Chicken Wings"
73,kGjpBqAqG4mIuFSgU2KKEA,The Royal Indian Cuisine,39.948365,-75.1744997,4,Philadelphia,"Restaurants, Indian"
74,kLSEk3qXY1KdtFjxHJ9pww,McDonald's,40.0884161,-74.9650112,1.5,Philadelphia,"Restaurants, Fast Food, Food, Coffee & Tea, Burgers"
75,kfGz2E7Y5FLXJyiKbQYfZg,The Irish Times,39.9403745,-75.1456109,3.5,Philadelphia,"Nightlife, Bars, Beer, Wine & Spirits, Pubs, Irish, Food, Restaurants"
77,PdMXmOWDRHICAx6SLgu1dQ,"24",39.9515211,-75.1798731,3.5,Philadelphia,"Italian, Bars, Restaurants, Nightlife, Wine Bars, Breakfast & Brunch"
83,JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,39.94796,-75.22198,4,Philadelphia,"Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian"
86,kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,39.953291,-75.173645,4,Philadelphia,"Restaurants, Delis, Salad, Sandwiches"
87,MYoRNLb5chwjQe3c_k37Gg,Sean Thorntons Public House,39.988107,-75.105553,3.5,Philadelphia,"Food, Nightlife, Restaurants, Irish Pub, Bars, Irish, Pubs, Beer, Wine & Spirits, Event Planning & Services, Gastropubs, Caterers"
88,pP4q0Mym-qt20nRqTKbzhQ,Morton's The Steakhouse,39.949603,-75.1649701595,3.5,Philadelphia,"Steakhouses, Restaurants, Nightlife, Seafood, Bars, American (Traditional)"
94,y1HgVnt4K5owmYXC5yXLGg,Flambo Caribbean Restaurant,39.9686973,-75.1606146,4.5,Philadelphia,"Trinidadian, Caribbean, Restaurants, Seafood"
96,RrqRin8BYGrTlJbCDwtLzA,Wawa,39.9510885597,-75.1989988336,3.5,Philadelphia,"Delis, Gas Stations, Food, Convenience Stores, Restaurants, Automotive, Coffee & Tea, Sandwiches"
97,IgNDlyLERBwFGphgcC5VDQ,Cosi,39.9487514826,-75.1604487143,2.5,Philadelphia,"Sandwiches, Vegetarian, Pizza, Food, Coffee & Tea, Delis, Restaurants, American (New)"
104,L_sXNadtVHjxMw7Yhvkj9Q,Naoki Ramen,39.955454,-75.1549,4,Philadelphia,"Ramen, Restaurants, Japanese"
105,HuDNHqKv9n1mWpe4BqCnwA,Minas Pizza,40.0352350987,-75.2167929785,3,Philadelphia,"Restaurants, Pizza"
108,BxR5hjyBnJZrm_nnaCtGQw,The Lunar Inn,39.9822933,-75.1031599,4.5,Philadelphia,"Bars, Food, Restaurants, Beer, Wine & Spirits, American (Traditional), Nightlife"
109,4TQMOy00KD_54xSFwKgMZw,Ndulge,40.025842293,-75.2243893677,3.5,Philadelphia,"Restaurants, Thai, Food, Cafes, Cupcakes"
112,NQSnr4RPUScss607oxOaqw,Chase's Hop Shop,40.0603863,-75.0845897,4.5,Philadelphia,"Chicken Wings, Nightlife, Bars, Delis, Food, Beer Gardens, Sandwiches, Beer Bar, Restaurants, Beer, Wine & Spirits, Gastropubs"
114,V6Om7YZhlRQRU7WfuxHq8Q,Beck's Cajun Cafe,39.9533224742,-75.1590000821,4,Philadelphia,"Restaurants, Cajun/Creole"
115,DOl21AqtT74dUZ3kvXNNcA,Golden Triangle,39.9415201345,-75.1509702725,4.5,Philadelphia,"Restaurants, Malaysian, Burmese, Asian Fusion, Thai"
116,I4TFiNX5gTsJBnEGH2Tl8Q,Benna's West,39.931855,-75.168473,3.5,Philadelphia,"Juice Bars & Smoothies, Sandwiches, Food, Restaurants, Coffee & Tea"
119,PvT44WlqJLkUrCITo6AjRA,Breakfast Boutique Chestnut Hill,40.0771492176,-75.2087070076,3,Philadelphia,"Breakfast & Brunch, Restaurants"
124,N1ZXhAVzOzbyCBPEXTaUUw,Tandoor Authentic Indian Restaurant,39.9551144,-75.202451,3.5,Philadelphia,"Food Delivery Services, Halal, Food, Restaurants, Buffets, Pakistani, Indian"
126,nBr6NgqcZz1GhtAngU0RSQ,Forin Cafe,39.9813471541,-75.1322471288,4.5,Philadelphia,"Shopping, Restaurants, Cafes, Fashion"
128,y44MbCvvtmg1FpkNGSWisw,Tony's Luke,39.8773236045,-75.2436721818,2.5,Philadelphia,"Cheesesteaks, Restaurants"
129,xb-qtXVZ7xFr51Se5fAZjg,Saige Café,39.9667910353,-75.1400172338,3,Philadelphia,"Sandwiches, Breakfast & Brunch, Coffee & Tea, Food, Restaurants, Cafes, Juice Bars & Smoothies"
131,LSdg7x7HhUdvYUevvYVHjQ,Sunoco,39.983319,-75.101136,2.5,Philadelphia,"Restaurants, Delis, Sandwiches"
136,U30ggGzFpXvc2NZYwOW3qg,Mood Cafe,39.9486639126,-75.2158315415,4.5,Philadelphia,"Cafes, Pakistani, Juice Bars & Smoothies, Restaurants, Ice Cream & Frozen Yogurt, Halal, Indian, Coffee & Tea, Food"
144,dE_MaaYrXBAEebtH2u_B-w,Wilson's Market,40.0390528,-75.1438169,3.5,Philadelphia,"Specialty Food, Meat Shops, Sandwiches, Food, Restaurants, Delis, Grocery"
146,68ThEdiK0eWCEgGEmV9Tng,Southgate,39.9455687,-75.1717901,4,Philadelphia,"Breakfast & Brunch, American (Traditional), Korean, Restaurants, Gastropubs, Nightlife, Bars, Cocktail Bars"
150,USyJiGIvZ8fHjRVaVTu1Zw,Tony Jr's,39.951157,-75.170714,3,Philadelphia,"Restaurants, Sandwiches, Cheesesteaks"
152,cEG1r9aRMJwmRQVkh7eiJg,Falls Deli,40.0128847,-75.1901845,4.5,Philadelphia,"Bagels, Food, Sandwiches, Delis, Breakfast & Brunch, Restaurants, Event Planning & Services, Caterers"
154,TttFjRQ-8Iz8by4hsD7iOQ,Angelina's,39.940221217,-75.1557966694,4.5,Philadelphia,"Restaurants, Italian"
158,aurl4I40YVQfQ8loOdgKCg,Crown Fried Chicken,39.971145,-75.15902,3.5,Philadelphia,"Chicken Wings, Restaurants, Fast Food"
161,di5ihAL9VWoctHelY8kLTQ,Gigi and Big R,39.9512903,-75.1992768,4,Philadelphia,"Restaurants, Food, Caribbean, Food Trucks"
162,Pb5agnsD9EdCl6yuZp2jJA,O Sole Mio,39.9378287,-75.1482632,4.5,Philadelphia,"Food, Seafood, Sardinian, Gelato, Restaurants, Pizza, Italian"
164,Bw0cpnfI-Y9QmjWzqS-oFg,Izumi,39.929738,-75.1633963,4,Philadelphia,"Restaurants, Sushi Bars, Desserts, Food, Japanese"
166,1w1H1kYUN60zpfdP-0qmGQ,Machismo Burrito Bar,40.0626011,-75.2372078,3,Philadelphia,"Restaurants, Mexican"
167,3VKE0_-KhU_qMYHxcyVcDg,Just To Serve You Too,40.029648,-75.1322934,3,Philadelphia,"Seafood, Restaurants, Soul Food, Southern"
170,kgMEBZG6rjkGeFzPaIM4MQ,McDonald's,39.9394402,-75.1668049,2,Philadelphia,"Fast Food, Food, Restaurants, Coffee & Tea, Burgers"
173,fKDV_dlDhXd7P5kZi97Kng,The Spot,39.9483749,-75.1744886,3,Philadelphia,"Breakfast & Brunch, Pizza, Greek, Restaurants, Food"
174,XgLrkmIqIrD_pl67lAovEQ,The Bourse,39.9498192516,-75.1486551501,2,Philadelphia,"Food Court, Shopping, Shopping Centers, IT Services & Computer Repair, Local Services, Souvenir Shops, Restaurants"
176,_IYHl6J9iB3lbeJq27pbsg,Taqueria La Hacienda,40.02202,-75.1240606,3.5,Philadelphia,"Latin American, Restaurants"
178,Ryt1Fhgz7sixMQSJiLyP_g,Zocalo,39.9584222,-75.1938661,2.5,Philadelphia,"Restaurants, Mexican"
179,B6qHZCAs7Nka-1zdjCzAIQ,Butter's Soul Food,39.9741307,-75.1815903,3,Philadelphia,"Food, Caterers, Event Planning & Services, Restaurants, Soul Food"
188,KAZ2Z3831eb5lHtUDKa8kA,Saladworks,39.9557501,-75.1819889,3.5,Philadelphia,"Salad, Restaurants, American (Traditional), Food, Sandwiches, Do-It-Yourself Food, Soup, Vegetarian, American (New)"
189,cLlBDZxYJ1dt1JgMuZnXew,Olly,39.9408776,-75.1511064,4,Philadelphia,"Pizza, Food, Bagels, Sandwiches, Comfort Food, Breakfast & Brunch, Burgers, American (New), Nightlife, Bars, Wine Bars, Restaurants"
190,V5KiEoH4E86GA2S3RQkf1g,Spice Grill,39.9862724,-75.094699,3.5,Philadelphia,"Restaurants, Chinese, Asian Fusion"
191,MMRRS6YhVRx_iN5-JhMRYg,Han Dynasty,39.9567105161,-75.1971027811,4,Philadelphia,"Restaurants, Chinese, Szechuan"
193,icp_IKE9zIkAqAucyS1vTA,Hakka Beef House,39.9554945,-75.1552563,4.5,Philadelphia,"Restaurants, Chinese"
196,f8xDi3rajxvIqS73N93Afw,Guavaberry Foods & Drinks ,39.938371,-75.1501031,4,Philadelphia,"Delis, Convenience Stores, Restaurants, Cafes, Food"
197,A0F-h3xJm_6gHDKcDQwSrQ,Capogiro Gelato,39.9541715545,-75.2013800841,4,Philadelphia,"Pizza, Restaurants, Gelato, Coffee & Tea, Ice Cream & Frozen Yogurt, Food"
199,SPWyzJPFP2TT7x0BsqaBqQ,Chenango Restaurant & Bar,39.9664073,-75.1386733,2,Philadelphia,"Barbeque, Bars, Nightlife, Restaurants"
200,Knt2mnsG15akKb9cjSiuxw,John's Seafood,39.9709958,-75.1581617,3,Philadelphia,"Restaurants, Seafood"
203,ugSVRAKO6mxvsrElFg8USw,México Lindo,39.926402,-75.1575374,4.5,Philadelphia,"Mexican, Restaurants"
206,mpVZG520RL-K1YeQi55ZPg,The Blarney Stone,39.9548253,-75.2009783,3.5,Philadelphia,"Burgers, American (Traditional), Karaoke, Pubs, Restaurants, Nightlife, Bars"
208,duf2PORLOL6it1dTGhSnKA,Junes Breakfast,39.9850064107,-75.246888042,2.5,Philadelphia,"Breakfast & Brunch, Restaurants, Coffee & Tea, Food, Sandwiches, American (New)"
212,bKppmYKQ_-9cpp2yziB-Qw,Lincoln Chicken Pizza And Grill,39.9738754,-75.1794242,2.5,Philadelphia,"Cheesesteaks, Chicken Wings, Restaurants, Pizza"
213,K8b2MQ5Az59-nzvqUfjJEQ,The Farm and Fisherman,39.944935,-75.1606759,4,Philadelphia,"American (New), Restaurants"
216,s55Hw6gHhQzZctinFhPu-g,Urban Eatery,39.9570681,-75.1916189,2,Philadelphia,"Restaurants, Food Court"
217,n6dw_zxL_4cVO6EP_m0joQ,Dragon House,39.9503586,-75.1615836,4,Philadelphia,"Restaurants, Chinese"
218,agTcS5LYZJe4gNiXK6nNkw,Buca D’Oro ,39.9470772078,-75.1541655511,4,Philadelphia,"Italian, Restaurants"
220,Zk_GdMMPgEfKUECCxAxvwQ,Pho Nam Giang,40.0860776,-74.9648083509,4.5,Philadelphia,"Chinese, Restaurants, Vietnamese, Asian Fusion"
222,PxEiXqMAzzvp8GFlb5EoLg,Grain Exchange,40.059508,-75.190838,3.5,Philadelphia,"Restaurants, American (New), Nightlife, American (Traditional), Pubs, Southern, Bars, Gastropubs"
229,w0zKpH49tW6Y-b6ZJzKMFw,Chuck's Alibi,40.061417,-75.0833451,2,Philadelphia,"Food, Restaurants, Seafood"
231,eqNutOMnPqKa9QDAY6KfEw,J'aime French Bakery,39.948081,-75.1608093,4.5,Philadelphia,"Food, Juice Bars & Smoothies, Coffee & Tea, Restaurants, Bakeries, Cafes"
234,sfbg2kxnvKpmlIuCUas5TA,Lucky Wok Restaurant,40.0342865,-75.1307075,2.5,Philadelphia,"Restaurants, Chinese"
238,8cLbpSZOHnmzxzDNSBGQCA,About BBQ,39.9554168697,-75.1554945434,4,Philadelphia,"Barbeque, Restaurants"
239,CB7nXPd5h_YLzcgfDo2DCg,Mike's Breakfast,40.045729,-75.11891,3,Philadelphia,"Restaurants, Breakfast & Brunch"
243,7lwe7n-Yc-V9E_HfLAeylg,Pub & Kitchen,39.9456566,-75.1747733,3.5,Philadelphia,"Restaurants, Pubs, Food, Bars, American (New), Nightlife"
245,o4_cgIKWgvJ09TZeSzARmg,Quality Pizza,40.0509209,-75.094581,3,Philadelphia,"Restaurants, Pizza"
246,5m3ND7lNNd6zo-bNQGoXhQ,Three 12 Sport Bar and Lounge,39.9499452,-75.146352,2.5,Philadelphia,"Lounges, Sports Bars, Bars, Cocktail Bars, Nightlife, Restaurants, American (Traditional)"
247,IDGg4Ax0iMYBtSKRP0tBbg,Germantown Pizza,39.9742039,-75.1420764,3,Philadelphia,"Pizza, Restaurants, Italian, Desserts, Food"
248,7J81xJFlMM244_f05k2egw,Hammerheads Bar & Grille,40.0374692,-75.0417837,2.5,Philadelphia,"Dive Bars, Restaurants, American (Traditional), Nightlife, Bars"
250,oBhJuukGRqPVvYBfTkhuZA,Square 1682,39.9508011,-75.1686108,3.5,Philadelphia,"American (New), Breakfast & Brunch, Bars, Nightlife, Restaurants"
251,e0aGg7U132XQRup2qa0Ztg,Archway Sandwich Shop,39.9528017,-75.1533475,3,Philadelphia,"Delis, Sandwiches, Restaurants, Breakfast & Brunch"
252,"04UD14gamNjLY0IDYVhHJg",Dmitri's,39.9380132,-75.1481307,4,Philadelphia,"Mediterranean, Restaurants, Seafood, Greek"
253,7sKfrJmjG6unAQeWdQUe2w,Franzone's Pizzeria & Restaurant,40.026465,-75.2244958,3.5,Philadelphia,"Pizza, Restaurants"
257,14ZGwnDyydXdSBsLXpSUrA,Vientiane Café,39.9483087,-75.2178905,4,Philadelphia,"Vietnamese, Restaurants, Food, Thai, Coffee & Tea, Laotian"
260,4NjPz9bJzll1FMIi2bw8HA,Sonam,39.9412971,-75.1466064,4.5,Philadelphia,"Tapas Bars, Restaurants"
266,AY1SyySRyTnBwBdf7qfGxQ,Citi Market place,39.9489105,-75.1630155,4.5,Philadelphia,"Grocery, Vegan, Food, Vegetarian, Convenience Stores, Restaurants"
268,9XpU6r6ATXSWYfbU7kibaQ,Passero's Coffee Roasters,39.9542012,-75.1674658,4.5,Philadelphia,"Coffee & Tea, Restaurants, Food, Coffee Roasteries, Sandwiches"
270,cz0sBSp8G2R2dqE6cccbuw,Wit or Witout Cheesesteaks,40.0378039,-75.0387664,2.5,Philadelphia,"Restaurants, Cheesesteaks, Sandwiches"
271,Lro-qULT-oa4Oz36p1yTwA,Johnny G's Pizza,40.0618893,-75.0832513,3,Philadelphia,"Restaurants, Pizza"
277,Yl4Am6NhqWo_YMmo1SyU5A,Domino's Pizza,39.9453395,-75.238934,2,Philadelphia,"Restaurants, Pizza"
278,ld1b8y_PHH6Mn_e7T0u04g,Gachi Sushi and Noodle,39.8946117,-75.2292952,4,Philadelphia,"Noodles, Japanese, Restaurants, Sushi Bars"
279,aZNiVR6oAMQX5__yGPvYsg,Susanna Foo Chinese Cuisine,39.9493255,-75.1667043,3.5,Philadelphia,"Chinese, Restaurants"
282,WxFfnTx_VAT_ORvqHAfYNw,My Blue Heaven,39.9883288,-75.0912665,3,Philadelphia,"Restaurants, Nightlife, American (Traditional), Bars"
284,ejRuEF2j8_w5qQbwEQ8GfQ,Villagio Pizza Cafe,39.9851818,-75.1067498,3,Philadelphia,"Pizza, Breakfast & Brunch, Restaurants"
285,zVmW-ohNzhOPiBIeUPL62g,Goody's Pizza,40.0274889,-75.0611831,2,Philadelphia,"Restaurants, Pizza"
287,MGNAYydr7SxPMDgFlnZ7sg,Little Caesars Pizza,39.9139475,-75.1520299,3,Philadelphia,"Restaurants, Pizza"
289,oFMpfE5J6f0ATRmsVXrFSg,Papa Sam,40.0394759,-75.0778205,3,Philadelphia,"Pizza, Restaurants"
291,tCLAeZsjXFG9RumJ4Hn0Kw,Maru Global,39.9467949,-75.1577025,3.5,Philadelphia,"Restaurants, Japanese"
301,T8lxi3V2avTVXCanVkAFNg,Pizza Hut,39.9130548,-75.149704,1.5,Philadelphia,"Italian, Chicken Wings, Restaurants, Pizza"
303,fr2qDm_mY1afIGMvqsKUCg,George's Wings,40.0643044322,-74.9868814021,3.5,Philadelphia,"American (Traditional), Fast Food, Restaurants, Chicken Wings, Food, Seafood, Sandwiches, Wraps, Burgers"
305,GOSVLhjUT6TnrPhkkmDOpw,Vineyards Cafe,39.969939,-75.163026,4.5,Philadelphia,"Coffee & Tea, Cafes, Food, Creperies, Internet Cafes, Restaurants, Breakfast & Brunch"
306,kOHcpCZQd4uNp6G2uE8o2A,PrimoHoagies,39.9209271,-75.1733058,4,Philadelphia,"Delis, Restaurants, Italian, Local Flavor, Sandwiches"
307,ELJcgId3RiCADVIT5QbUTA,Hyon's Seafood,39.9350405,-75.179381,3.5,Philadelphia,"Restaurants, Seafood"
308,h85b3MFPWyaopMBy8DpBpA,Ron's Caribbean Cuisine,40.0407573,-75.1448014,4,Philadelphia,"Restaurants, Food, Ethnic Food, Cafes, Caribbean, Specialty Food"
309,w9hS5x1F52Id-G1KTrAOZg,Wiz Kid,39.9509958568,-75.1723086834,4.5,Philadelphia,"Vegan, Restaurants, Fast Food, Cheesesteaks"
311,_tADqh3OmH6CzGJWKkru3g,Latin Flavor,39.9422752,-75.1532337,4.5,Philadelphia,"Latin American, Caribbean, Cuban, Restaurants"
312,5Eq-hxUIIjZTHFnpZJhgQQ,Tom's Corner Grill & Pizza,40.0406177,-75.0438084,3.5,Philadelphia,"Restaurants, Pizza"
313,c8rjE6NcfeyzLB_aU1GdMA,Sláinte Pub & Grill,39.954815805,-75.1836068183,3.5,Philadelphia,"Nightlife, Bars, Restaurants, Irish, Pubs"
316,mCo2uVTTGYrEhRrkQW-CMw,Empress Garden,39.9539403,-75.1563093,4,Philadelphia,"Taiwanese, Chinese, Noodles, Restaurants"
318,-LmhsdQproqCf5EQoD06rQ,The Fat ChickeN,39.9227051442,-75.1861358061,4.5,Philadelphia,"Japanese, Chicken Wings, Fast Food, Restaurants"
319,ydIiHK4TE_wd7gAyifNUAQ,Chinese Restaurant,39.9538392,-75.1563293,4.5,Philadelphia,"Restaurants, Chinese"
321,afsP-p_pr4ikrboB5MtUzQ,Los Compadres,39.9553865,-75.1910637,4,Philadelphia,"Mexican, Italian, Food Trucks, Restaurants, Food"
322,7MaaaorooHRAqkQXcTqmrg,Nannie Francos Pizza,39.922527,-75.1644732,3,Philadelphia,"Pizza, Restaurants"
326,tVxL-Ygzwp8NMuxwvNmWRA,Los Potrillos,40.0123759,-75.1124633,4,Philadelphia,"American (Traditional), Spanish, Restaurants, Food Trucks, Mexican, Food"
331,H3yoQNhw-AfdLIwScR1zXg,Divino Wine Bar,39.9482333,-75.1726372,3.5,Philadelphia,"Italian, Wine Bars, Restaurants, Bars, Nightlife, Pizza"
333,rVfe1LHo55A2fworkm_jVw,Capofitto,39.9485775068,-75.1450225711,4.5,Philadelphia,"Bars, Gelato, Breakfast & Brunch, Italian, Food, Nightlife, Restaurants, Pizza"
334,O6hY9yenifuRXrpc4TfgsQ,The Blue Duck,40.0571673033,-75.0304835714,4,Philadelphia,"Restaurants, American (New), Burgers, Breakfast & Brunch, Sandwiches"
336,-V0vIgo6196MDn_x3ZaYmA,La Creperie Cafe,39.9506242,-75.1697297,3.5,Philadelphia,"Restaurants, Cafes, Creperies"
338,ZMJz4ekxrcZdhBcnK4B_6g,Kurry Shack,39.9229257,-75.1525267,3.5,Philadelphia,"Vegetarian, Specialty Food, Health Markets, Halal, Indian, Restaurants, Food"
339,UaovDcnP0QzsmGf6vXvg9w,Rocchino's,39.948818,-75.1456539,3,Philadelphia,"American (New), Italian, Restaurants"
340,x2J-YIFeGZ-nsezzooVA9g,Twenty 21,39.9541083,-75.1746706,3,Philadelphia,Restaurants
342,kLS3Sth5HvO0IjrXCCvXxA,Wawa,39.953351,-75.172624,2.5,Philadelphia,"Food, Automotive, Convenience Stores, Coffee & Tea, Gas Stations, Sandwiches, Restaurants"
343,sdWuLh-auc0nC2Jy6_26AQ,The Black Sheep Pub & Restaurant,39.9484223,-75.1692901,3.5,Philadelphia,"Bars, Pubs, Irish Pub, Nightlife, Sports Bars, Restaurants, American (New)"
344,jFmS7S0kU5ZQHSm4jqymQw,Vegetate,39.9539284,-75.1886632,3,Philadelphia,"Sandwiches, American (New), Vegetarian, Vegan, Breakfast & Brunch, Restaurants"
350,AtYDSsVOZT8DLWCcTBqZmQ,Hunnies Crispy Chicken,39.9491591674,-75.1671322221,2,Philadelphia,"Restaurants, Chicken Shop, American (Traditional)"
352,3CsBRtDT5WOUu8IY0mHhXw,Slices Pizza,40.0096537,-75.1954732,4,Philadelphia,"Pizza, Food, Restaurants"
353,nP4LqTcK1USiw5WnbOjW7A,Marrakesh Express,39.9567155,-75.2100343,4.5,Philadelphia,"Moroccan, Halal, Restaurants"
356,REns5fQe45Nk_D2UwQyr0w,Barra Restaurant,39.948818,-75.1456539,2.5,Philadelphia,"Restaurants, Bars, Pizza, Nightlife, Italian"
357,1NCUTTp6rIyXpwUDVv9qOA,Lazos Pizza & Grill,39.9727751034,-75.1789870874,4,Philadelphia,"Pizza, American (Traditional), Restaurants, Italian"
360,HHWTWs8sa7cE3ksH3_BCTw,Fa Caldo Caffe,39.9280696,-75.1602342,4.5,Philadelphia,"Coffee & Tea, American (New), Restaurants, Food"
363,qHCfhWPyb1GXpzq9Wk3Vkg,New England Pizza,40.0400368,-75.0662936,3,Philadelphia,"Pizza, Restaurants"
364,OP-m-Kq-1aEWrrlaszFi9w,Ramble Pizza,39.9793657,-75.1253492,4.5,Philadelphia,"Restaurants, Pizza, Food, Food Trucks"
367,lT-RDsvFR21X1_5UhFp5Dg,Sue's Market,39.946233,-75.1455404,4,Philadelphia,"Beer, Wine & Spirits, Restaurants, Specialty Food, Food, Sandwiches, Delis, Fruits & Veggies, Grocery"
368,rg6z4zFMxjj16qAnJ65gxg,Chevy’s Famous Thin Crust Pizza,40.0582111,-75.0868253,4,Philadelphia,"Sandwiches, Pizza, Chicken Wings, Restaurants"
371,mUIBtlWNPD7sz3rGGWQ1RA,Kanella,39.9463322,-75.1579478,4.5,Philadelphia,"Mediterranean, Food, Greek, Restaurants, Breakfast & Brunch"
375,hxEo_CKsmSMGXcHNLR9oow,Lulu's Pizza Bar,39.9501019,-75.1451657,3.5,Philadelphia,"Food, Restaurants, Nightlife, Pizza, Bars, Beer, Wine & Spirits"
380,_FlhRk9KjdXyE0sLxUdEBQ,Commonwealth Kitchen,40.04186,-75.0275663,3.5,Philadelphia,"Cheesesteaks, Restaurants, Pizza, American (Traditional)"
